latitude,longitude,plant_name,total_cap,plant_types_all,plant_caps_all,plant_type,renewable,state_long
40.1719,-88.8339,Clinton Power Station,1065,nuclear,1065,nuclear,false,Illinois
30.4308,-81.5508,St Johns River Power Park,1252,coal,1252,coal,false,Florida
38.23926,-95.68978,Wolf Creek Generating Station,1175,nuclear,1175,nuclear,false,Kansas
39.215979,-120.80355,Alta Powerhouse,1,hydro,1,hydro,true,California
38.071944,-120.539444,Angels,0.7,hydro,0.7,hydro,true,California
36.909137,-119.087712,Balch 1,34,hydro,34,hydro,true,California
36.908907,-119.087556,Balch 2,105,hydro,105,hydro,true,California
40.007445,-121.249438,Belden,125,hydro,125,hydro,true,California
39.91062,-121.327692,Bucks Creek,65,hydro,65,hydro,true,California
40.175656,-121.190663,Butt Valley,41,hydro,41,hydro,true,California
40.085476,-121.148241,Caribou 1,75,hydro,75,hydro,true,California
40.085997,-121.149373,Caribou 2,120,hydro,120,hydro,true,California
39.788877,-121.657383,Centerville,6.4,hydro,6.4,hydro,true,California
38.771764,-120.813239,Chili Bar,7,hydro,7,hydro,true,California
40.404645,-122.121904,Coleman,13,hydro,13,hydro,true,California
40.570817,-122.02093,Cow Creek,1.8,hydro,1.8,hydro,true,California
39.825907,-121.409687,Cresta,70,hydro,70,hydro,true,California
39.869265,-121.631819,De Sabla,18.5,hydro,18.5,hydro,true,California
39.29807,-120.8443,Deer Creek,5.7,hydro,5.7,hydro,true,California
39.256873,-120.767437,Drum 1,54,hydro,54,hydro,true,California
39.257388,-120.767046,Drum 2,49.5,hydro,49.5,hydro,true,California
39.216985,-120.835587,Dutch Flat,22,hydro,22,hydro,true,California
38.793574,-120.619152,El Dorado,20.6,hydro,20.6,hydro,true,California
38.330985,-120.669901,Electra,98,hydro,98,hydro,true,California
36.927424,-119.02025,Haas,144,hydro,144,hydro,true,California
38.956985,-121.041932,Halsey,11,hydro,11,hydro,true,California
40.268712,-121.089479,Hamilton Branch,4.8,hydro,4.8,hydro,true,California
40.929297,-121.544462,Hat Creek 1,8.5,hydro,8.5,hydro,true,California
40.960675,-121.548657,Hat Creek 2,8.5,hydro,8.5,hydro,true,California
40.7415,-124.2103,Humboldt Bay,163.4,natural_gas,163.4,natural_gas,false,California
40.400988,-121.965502,Inskip,8,hydro,8,hydro,true,California
40.992295,-121.975182,James B Black,172,hydro,172,hydro,true,California
37.092486,-119.552826,Kerckhoff,25.2,hydro,25.2,hydro,true,California
40.677827,-121.873253,Kilarc,3.2,hydro,3.2,hydro,true,California
36.888166,-119.158777,Kings River,52,hydro,52,hydro,true,California
39.698755,-121.57096,Lime Saddle,2,hydro,2,hydro,true,California
37.52301,-120.329905,Merced Falls,3.5,hydro,3.5,hydro,true,California
36.804837,-121.782241,Dynegy Moss Landing Power Plant,2529,natural_gas,2529,natural_gas,false,California
38.147093,-120.446396,Murphys,1.7,hydro,1.7,hydro,true,California
39.2364,-121.271741,Narrows,12,hydro,12,hydro,true,California
38.032103,-120.326537,Phoenix,2,hydro,2,hydro,true,California
40.99084,-121.498243,Pit 1,61,hydro,61,hydro,true,California
40.997448,-121.748139,Pit 3,69.9,hydro,69.9,hydro,true,California
40.986361,-121.84944,Pit 4,95,hydro,95,hydro,true,California
40.986197,-121.977594,Pit 5,160,hydro,160,hydro,true,California
40.922568,-121.992906,Pit 6,80,hydro,80,hydro,true,California
40.847462,-121.990798,Pit 7,113,hydro,113,hydro,true,California
38.039168,-121.894469,Pittsburg Power,1311,natural_gas,1311,natural_gas,false,California
39.722892,-121.469814,Poe,120,hydro,120,hydro,true,California
39.361786,-123.127934,Potter Valley,9.2,hydro,9.2,hydro,true,California
39.90521,-121.345226,Rock Creek,121,hydro,121,hydro,true,California
37.203233,-119.497508,San Joaquin 2,3.2,hydro,3.2,hydro,true,California
37.253718,-119.519352,San Joaquin 3,4.2,hydro,4.2,hydro,true,California
38.497914,-120.21811,Salt Springs,44,hydro,44,hydro,true,California
40.395396,-121.879186,South,7,hydro,7,hydro,true,California
39.324613,-120.644807,Spaulding 1,7,hydro,7,hydro,true,California
39.324592,-120.645375,Spaulding 2,4.4,hydro,4.4,hydro,true,California
39.337679,-120.635467,Spaulding 3,5.8,hydro,5.8,hydro,true,California
38.18653,-120.11168,Spring Gap,7,hydro,7,hydro,true,California
38.139048,-120.370325,Stanislaus,91,hydro,91,hydro,true,California
38.777,-122.745,Geysers Unit 5-20,770,geothermal,770,geothermal,true,California
38.449291,-120.492645,Tiger Creek,58,hydro,58,hydro,true,California
36.163076,-118.707104,Tule River,6.4,hydro,6.4,hydro,true,California
40.459111,-121.86708,Volta 1,9,hydro,9,hydro,true,California
38.420898,-120.549572,West Point,14.5,hydro,14.5,hydro,true,California
38.889862,-121.098525,Wise,17.2,hydro,17.2,hydro,true,California
37.15105,-119.504724,A G Wishon,20,hydro,20,hydro,true,California
41.978914,-122.335317,Copco 1,26.4,hydro,26.4,hydro,true,California
41.975716,-122.358127,Copco 2,35.6,hydro,35.6,hydro,true,California
41.985605,-122.360455,Fall Creek,1.9,hydro,1.9,hydro,true,California
41.932981,-122.43678,Iron Gate,18.8,hydro,18.8,hydro,true,California
31.4219,-96.2525,Limestone,1689,coal,1689,coal,false,Texas
38.4889,-112.8533,Blundell,34,geothermal,34,geothermal,true,Utah
32.7958,-116.9722,El Cajon,16,natural_gas,16,natural_gas,false,California
33.1361,-117.3364,Encina,964,natural_gas,964,natural_gas,false,California
32.834,-117.1338,Kearny,136,natural_gas,136,natural_gas,false,California
32.8761,-117.1664,Miramar,36,natural_gas,36,natural_gas,false,California
56.986284,-135.12275,Green Lake,18.6,hydro,18.6,hydro,true,Alaska
32.673097,-115.392026,Drop 5,3.6,hydro,3.6,hydro,true,California
33.7688,-118.1009,AES Alamitos LLC,1997,natural_gas,1997,natural_gas,false,California
34.0969,-118.4795,Sepulveda Canyon,8.5,hydro,8.5,hydro,true,California
37.2042,-119.2396,Big Creek 1,88.4,hydro,88.4,hydro,true,California
37.2,-119.3069,Big Creek 2,66.6,hydro,66.6,hydro,true,California
37.148517,-119.386623,Big Creek 3,173.5,hydro,173.5,hydro,true,California
37.139,-119.4898,Big Creek 4,100,hydro,100,hydro,true,California
37.2096,-119.3289,Big Creek 8,70.8,hydro,70.8,hydro,true,Massachusetts
37.200062,-119.30681,Big Creek 2A,100,hydro,100,hydro,true,California
37.273581,-118.573339,Bishop Creek 2,7.3,hydro,7.3,hydro,true,California
37.301962,-118.531957,Bishop Creek 3,7.9,hydro,7.9,hydro,true,California
37.323035,-118.501714,Bishop Creek 4,8,hydro,8,hydro,true,California
37.3344,-118.4797,Bishop Creek 5,3.8,hydro,3.8,hydro,true,California
37.3499,-118.4628,Bishop Creek 6,1.6,hydro,1.6,hydro,true,California
35.588069,-118.524804,Borel,10.6,hydro,10.6,hydro,true,California
34.8606,-116.8539,Coolwater,636,natural_gas,636,natural_gas,false,California
33.909804,-118.424172,El Segundo Power,335,natural_gas,335,natural_gas,false,California
34.09118,-117.52663,Etiwanda Generating Station,640,natural_gas,640,natural_gas,false,California
34.155162,-117.397119,Fontana,2.8,hydro,2.8,hydro,true,California
33.6439,-117.9792,AES Huntington Beach LLC,451.6,natural_gas,451.6,natural_gas,false,California
36.461326,-118.87988,Kaweah 2,1.8,hydro,1.8,hydro,true,California
36.465066,-118.862023,Kaweah 1,2.1,hydro,2.1,hydro,true,California
36.486059,-118.835645,Kaweah 3,4.5,hydro,4.5,hydro,true,California
35.776185,-118.436233,Kern River 3,40.2,hydro,40.2,hydro,true,California
35.460303,-118.77959,Kern River 1,26.4,hydro,26.4,hydro,true,California
33.7641,-118.2248,Long Beach Generation LLC,260,natural_gas,260,natural_gas,false,California
38.042729,-119.172015,Lundy,3,hydro,3,hydro,true,California
37.220302,-119.337983,Mammoth Pool,160,hydro,160,hydro,true,California
34.2067,-119.2511,Mandalay,560,natural_gas,560,natural_gas,false,California
34.1292,-119.1689,Ormond Beach,1516,natural_gas,1516,natural_gas,false,California
37.944237,-119.2161,Poole,10.9,hydro,10.9,hydro,true,California
37.257045,-119.158936,Portal,10.8,hydro,10.8,hydro,true,California
33.8504,-118.395,AES Redondo Beach LLC,1310,natural_gas,1310,natural_gas,false,California
37.766954,-119.123284,Rush Creek,11,hydro,11,hydro,true,California
34.0818,-117.2418,Mountainview Generating Station,972,natural_gas,972,natural_gas,false,California
34.14522,-117.058481,Santa Ana 1,3.2,hydro,3.2,hydro,true,California
34.107245,-117.099091,Santa Ana 3,3.1,hydro,3.1,hydro,true,California
36.13568,-118.788868,Tule River,2.6,hydro,2.6,hydro,true,California
46.4711,-119.3339,Columbia Generating Station,1132,nuclear,1132,nuclear,false,California
38.2569,-120.8507,Pardee,27.7,hydro,27.7,hydro,true,California
34.1556,-118.2782,Grayson,256,"natural_gas,biomass","158,98",natural_gas,false,California
47.287206,-93.498266,Prairie River,0.6,hydro,0.6,hydro,true,Minnesota
37.896649,-119.9675,Dion R Holm,156.8,hydro,156.8,hydro,true,California
37.809388,-120.299254,Moccasin,100,hydro,100,hydro,true,California
37.877667,-119.953233,R C Kirkwood,115.5,hydro,115.5,hydro,true,California
41.494636,-88.123827,Joliet 29,1036,coal,1036,coal,false,Illinois
32.705435,-115.030975,Drop 2,8,hydro,8,hydro,true,California
32.705428,-115.126103,Drop 3,8.9,hydro,8.9,hydro,true,California
32.705341,-115.219067,Drop 4,20,hydro,20,hydro,true,California
32.802222,-115.54,El Centro,325.3,natural_gas,325.3,natural_gas,false,California
61.0828,-146.3033,Solomon Gulch,12,hydro,12,hydro,true,Alaska
37.142795,-118.324075,Big Pine,3,hydro,3,hydro,true,California
34.587237,-118.656638,Castaic,1631,"hydro,pumped_storage","56,1575",hydro,true,California
37.437921,-118.556988,Control Gorge,37.5,hydro,37.5,hydro,true,California
36.443421,-118.04389,Cottonwood,2.4,hydro,2.4,hydro,true,California
34.318248,-118.494449,Foothill,9.9,hydro,9.9,hydro,true,California
34.103931,-118.413377,Franklin,2,hydro,2,hydro,true,California
36.109722,-117.956667,Haiwee,7.2,hydro,7.2,hydro,true,California
33.7856,-118.2644,Harbor,461,natural_gas,461,natural_gas,false,California
33.764741,-118.09913,Haynes,1571.8,natural_gas,1571.8,natural_gas,false,California
37.51,-118.569167,Middle Gorge,37.5,hydro,37.5,hydro,true,California
37.41416,-118.523889,Pleasant Valley,2.7,hydro,2.7,hydro,true,California
34.260527,-118.385531,San Fernando,6.1,hydro,6.1,hydro,true,California
33.918151,-118.427648,Scattergood,796,natural_gas,796,natural_gas,false,California
63.3367,-142.9856,Tok,7.6,petroleum,7.6,petroleum,false,Alaska
37.546036,-118.590001,Upper Gorge,37.5,hydro,37.5,hydro,true,California
34.244991,-118.391327,Valley,556,natural_gas,556,natural_gas,false,California
37.584345,-120.26859,Exchequer,94.5,hydro,94.5,hydro,true,California
37.522065,-120.31009,McSwain,9,hydro,9,hydro,true,California
39.177903,-120.890856,Chicago Park,44,hydro,44,hydro,true,California
39.2184,-120.8352,Dutch Flat 2,27.3,hydro,27.3,hydro,true,California
38.202569,-120.076983,Beardsley,11,hydro,11,hydro,true,California
38.246656,-120.034072,Donnells,72,hydro,72,hydro,true,California
37.876111,-120.605,Tulloch,25.8,hydro,25.8,hydro,true,California
39.551012,-121.278784,Forbestown,36,hydro,36,hydro,true,California
39.531784,-121.491247,Kelly Ridge,9,hydro,9,hydro,true,California
39.553811,-121.204077,Woodleaf,59,hydro,59,hydro,true,California
34.1254,-118.148,Broadway,71,natural_gas,71,natural_gas,false,California
55.4764,-133.1483,Craig,4.4,petroleum,4.4,petroleum,false,Alaska
34.126,-118.1494,Glenarm,155,natural_gas,155,natural_gas,false,California
55.2081,-132.8267,Hydaburg,1,petroleum,1,petroleum,false,Alaska
39.077971,-120.406069,French Meadows,17,hydro,17,hydro,true,California
39.024801,-120.596383,Middle Fork,122,hydro,122,hydro,true,California
39.003372,-120.746651,Oxbow,6,hydro,6,hydro,true,California
39.000999,-120.725053,Ralston,86.3,hydro,86.3,hydro,true,California
37.477838,-120.444492,Parker,2.7,hydro,2.7,hydro,true,California
38.82881,-120.537089,Camino,155.9,hydro,155.9,hydro,true,California
38.83405,-120.53176,Jaybird,156.2,hydro,156.2,hydro,true,California
38.982697,-120.324503,Loon Lake,74.1,hydro,74.1,hydro,true,California
38.896511,-120.378292,Robbs Peak,25.5,hydro,25.5,hydro,true,California
38.765336,-120.787366,White Rock/Slab Creek,241,hydro,241,hydro,true,California
34.2056,-117.3344,Devil Canyon,262,hydro,262,hydro,true,California
39.542985,-121.492188,Edward C Hyatt,743.1,"hydro,pumped_storage","405.9,337.2",hydro,true,California
39.514893,-121.630077,Thermalito,104.8,"hydro,pumped_storage","28,76.8",hydro,true,California
37.695994,-120.420152,Don Pedro,203.2,hydro,203.2,hydro,true,California
37.6697,-120.4436,La Grange,4.3,hydro,4.3,hydro,true,California
38.70675,-121.158443,Folsom,215.1,hydro,215.1,hydro,true,California
40.646934,-122.626973,Judge F Carr,177.4,hydro,177.4,hydro,true,California
40.611858,-122.446441,Keswick,117,hydro,117,hydro,true,California
38.63735,-121.220198,Nimbus,16.6,hydro,16.6,hydro,true,California
40.717455,-122.422274,Shasta,714,hydro,714,hydro,true,California
37.098671,-121.047718,ONeill,14.4,pumped_storage,14.4,pumped_storage,false,California
34.295334,-114.140222,Parker Dam,120,hydro,120,hydro,true,California
37.0692,-121.0772,W R Gianelli,401,pumped_storage,401,pumped_storage,false,California
40.628115,-122.467509,Spring Creek,180,hydro,180,hydro,true,California
40.797296,-122.762553,Trinity,140,hydro,140,hydro,true,California
39.330833,-121.191666,Colgate,315,hydro,315,hydro,true,Louisiana
39.238996,-121.270409,Narrows 2,46.7,hydro,46.7,hydro,true,California
33.166111,-117.016667,Bear Valley,1.4,hydro,1.4,hydro,true,California
38.2667,-104.6144,Pueblo,10,petroleum,10,petroleum,false,Colorado
37.4594,-105.8947,Alamosa,27,natural_gas,27,natural_gas,false,Colorado
39.67,-105.0028,Arapahoe,109,coal,109,coal,false,Colorado
40.004725,-105.332495,Boulder Canyon Hydro,5,hydro,5,hydro,true,Colorado
39.6551,-105.7088,Cabin Creek,324,pumped_storage,324,pumped_storage,false,Colorado
39.807275,-104.964548,Cherokee,504,coal,504,coal,false,Colorado
38.2081,-104.5747,Comanche,1426,coal,1426,coal,false,Colorado
39.1364,-108.7347,Fruita,18,natural_gas,18,natural_gas,false,Colorado
39.6919,-105.6978,Georgetown,1.4,hydro,1.4,hydro,true,Colorado
39.101667,-108.345556,Grand Valley Project Power Plant,3.1,hydro,3.1,hydro,true,Colorado
38.53419,-106.182003,Salida,1.4,hydro,1.4,hydro,true,Colorado
39.57013,-107.226876,Shoshone,15,hydro,15,hydro,true,California
40.0195,-105.202,Valmont,227,"coal,natural_gas","184,43",coal,false,Colorado
39.737348,-105.016991,Zuni,60,natural_gas,60,natural_gas,false,Colorado
33.8343,-117.4971,Temescal,2.8,hydro,2.8,hydro,true,California
33.85895,-117.6106,Corona,2.8,hydro,2.8,hydro,true,California
33.8361,-117.1831,Perris,7.9,hydro,7.9,hydro,true,California
37.7392,-121.4322,Altamont Midway Ltd,10.9,wind,10.9,wind,true,California
34.004722,-118.09917,Rio Hondo,1.9,hydro,1.9,hydro,true,California
33.92493,-117.95517,Coyote Creek,3.1,hydro,3.1,hydro,true,California
33.3944,-117.1889,Red Mountain,5.9,hydro,5.9,hydro,true,California
33.9001,-117.82905,Valley View,4.1,hydro,4.1,hydro,true,California
37.6508,-120.4706,Upper Dawson,5.5,hydro,5.5,hydro,true,California
37.755,-106.1092,Center,1.5,petroleum,1.5,petroleum,false,Colorado
38.824444,-104.833333,Martin Drake,254,coal,254,coal,false,Colorado
38.881389,-104.816944,George Birdsall,55,natural_gas,55,natural_gas,false,Colorado
38.855556,-104.933056,Manitou Springs,5.6,hydro,5.6,hydro,true,Colorado
38.841354,-104.973802,Ruxton Park,1,hydro,1,hydro,true,California
38.7314,-108.0708,Delta,4.5,"natural_gas,petroleum","4.2,0.3",natural_gas,false,Colorado
38.055,-102.2004,Holly,2.7,petroleum,2.7,petroleum,false,Colorado
40.9681,-102.2492,Julesburg,2.2,petroleum,2.2,petroleum,false,Colorado
43.417872,-108.177545,Boysen,17.2,hydro,17.2,hydro,true,Wyoming
37.9844,-103.5436,La Junta,14.4,petroleum,14.4,petroleum,false,Colorado
38.0597,-103.2206,Las Animas,5.1,petroleum,5.1,petroleum,false,Colorado
38.0921,-102.6148,Lamar Plant,51.7,"coal,natural_gas,petroleum","40,4.2,2",coal,false,Colorado
38.7903,-122.7559,Sonoma California Geothermal,55,geothermal,55,geothermal,true,California
37.178979,-104.487492,Trinidad,13,"coal,natural_gas,petroleum","3.8,3.8,5.4",coal,false,Colorado
38.453191,-107.337483,Blue Mesa,86.4,hydro,86.4,hydro,true,Colorado
40.376771,-105.509665,Estes,51.6,hydro,51.6,hydro,true,Colorado
38.451753,-107.539299,Morrow Point,173.2,hydro,173.2,hydro,true,Colorado
40.421031,-105.223804,Big Thompson,5.2,hydro,5.2,hydro,true,Colorado
39.878805,-106.332725,Green Mountain,26,hydro,26,hydro,true,Colorado
40.34408,-105.534308,Marys Lake,9.3,hydro,9.3,hydro,true,Colorado
40.364996,-105.236032,Flatiron,98.5,"hydro,pumped_storage","90,8.5",hydro,true,Colorado
40.365056,-105.325074,Pole Hill,38.2,hydro,38.2,hydro,true,Colorado
39.19366,-108.044088,Lower Molina,5.6,hydro,5.6,hydro,true,Hawaii
39.143808,-108.004777,Upper Molina,9.9,hydro,9.9,hydro,true,Colorado
40.4856,-107.185,Hayden,446,coal,446,coal,false,Colorado
38.2383,-108.5069,Nucla,100,coal,100,coal,false,California
39.048802,-121.316966,Camp Far West,7.2,hydro,7.2,hydro,true,California
31.400255,-86.476449,McWilliams,663,natural_gas,663,natural_gas,false,California
38.850283,-120.381883,Jones Fork,10,hydro,10,hydro,true,California
38.652731,-121.393336,McClellan,77,natural_gas,77,natural_gas,false,California
38.2268,-121.0245,Camanche,10.5,hydro,10.5,hydro,true,California
41.5826,-73.4349,Rocky River,29.4,pumped_storage,29.4,pumped_storage,false,Connecticut
41.2925,-72.7942,Branford,17.4,petroleum,17.4,petroleum,false,Connecticut
41.659046,-73.491984,Bulls Bridge,8.4,hydro,8.4,hydro,true,Connecticut
41.0289,-73.5989,Cos Cob,95.6,petroleum,95.6,petroleum,false,Connecticut
41.209797,-73.108976,Devon Station,132.5,petroleum,132.5,petroleum,false,Connecticut
41.4281,-72.1019,Montville Station,496.4,petroleum,496.4,petroleum,false,Connecticut
42.610683,-72.471643,Northfield Mountain,1146,pumped_storage,1146,pumped_storage,false,Michigan
48.620336,-118.111059,Kettle Falls Generating Station,56.2,"natural_gas,wood","6.2,50",natural_gas,false,Washington
41.6651,-72.1221,Scotland Dam,1.7,hydro,1.7,hydro,true,Connecticut
41.44842,-73.295321,Shepaug,41.5,hydro,41.5,hydro,true,Connecticut
